run_id	stack
2026-04-26_CaseOps_SkipGates_ParResid_QKGain45_HessClip015_WD090_Valid	WD090
2026-04-26_CaseOps_SkipGates_ParResid_QKGain45_HessClip015_WD095_Valid	WD095
2026-04-26_CaseOps_SkipGates_ParResid_QKGain50_HessClip015_Valid	QKGain50
2026-04-26_CaseOps_SkipGates_ParResid_QKGain525_HessClip015_Valid	QKGain525
2026-04-26_CaseOps_SkipGates_ParResid_QKGain50_HessClip015_WD090_Valid	WD090_QKGain50
